Lake,Date,sample,CH4,CO2,N20
BARC,2018-03-05T05:00:00Z,WAT,140.8255789,1710.6637705,0.510843
BARC,2018-04-02T04:00:00Z,WAT,11.868769,1088.7368393,0.527167
BARC,2018-04-02T04:00:00Z,AIR,2.8914596,664.0112947,0.5967828
BARC,2018-04-30T04:00:00Z,AIR,2.7066755,662.5872336,0.5061318
BARC,2018-04-30T04:00:00Z,WAT,50.8539332,1320.3682332,0.5742346
SUGG,2016-08-09T04:00:00Z,AIR,5.48594,699.15072,0.79578
SUGG,2016-08-09T04:00:00Z,WAT,15.56082,4792.75002,0.95373
SUGG,2016-08-09T04:00:00Z,WAT,2.73435,606.16528,0.98128
SUGG,2016-09-06T04:00:00Z,WAT,2.64297,498.27322,0.62912
SUGG,2016-09-06T04:00:00Z,WAT,107.38901,5959.10286,2.14878
SUGG,2016-09-06T04:00:00Z,AIR,2.66823,667.31277,1.29458
SUGG,2016-09-06T04:00:00Z,WAT,22.43013,4063.83358,1.76711
SUGG,2016-10-11T04:00:00Z,WAT,17.77,2601.4,0.909
SUGG,2016-10-11T04:00:00Z,WAT,11.12,2111.8,0.877
SUGG,2016-10-11T04:00:00Z,AIR,1.12,502.1,0.852
SUGG,2016-10-11T04:00:00Z,WAT,31.19,3474.7,1.066
SUGG,2016-10-31T04:00:00Z,WAT,2.048,771.1,0.752
SUGG,2016-10-31T04:00:00Z,AIR,2.067,739.6,0.486
SUGG,2016-10-31T04:00:00Z,WAT,7.097,2270.3,0.811
SUGG,2016-10-31T04:00:00Z,WAT,7.496,3050.3,0.492
SUGG,2016-12-05T05:00:00Z,AIR,1.963,437,0.678
SUGG,2016-12-05T05:00:00Z,WAT,4.127,1384.6,0.621
SUGG,2016-12-05T05:00:00Z,WAT,20.501,5098.8,0.497
SUGG,2016-12-05T05:00:00Z,WAT,7.967,2673.6,0.757
SUGG,2017-01-31T05:00:00Z,AIR,5.21,2005.8,0.699
SUGG,2017-01-31T05:00:00Z,WAT,4.662,1514.6,0.67
SUGG,2017-01-31T05:00:00Z,WAT,8.135,2957.5,0.811
SUGG,2017-01-31T05:00:00Z,WAT,19.042,3984.2,0.494
SUGG,2017-02-28T05:00:00Z,WAT,18.417,2463.4,0.633
SUGG,2017-02-28T05:00:00Z,WAT,16.49,2503.9,0.618
SUGG,2017-02-28T05:00:00Z,AIR,2.102,699.6,0.724
SUGG,2017-02-28T05:00:00Z,WAT,12.736,2120.9,0.545
SUGG,2017-04-03T04:00:00Z,WAT,2.162,420.8,0.354
SUGG,2017-04-03T04:00:00Z,AIR,2.208,510.4,0.625
SUGG,2017-04-03T04:00:00Z,WAT,38.558,2580.2,0.601
SUGG,2017-04-03T04:00:00Z,WAT,75.426,5126.2,0.624
SUGG,2017-05-01T04:00:00Z,WAT,14.833,3331.1,0.892
SUGG,2017-05-01T04:00:00Z,AIR,2.14,476.1,0.409
SUGG,2017-05-01T04:00:00Z,WAT,16.554,2531.1,0.744
SUGG,2017-05-01T04:00:00Z,WAT,4.289,2155.2,0.644
SUGG,2017-06-06T04:00:00Z,WAT,9.087,3032.9,0.559
SUGG,2017-06-06T04:00:00Z,WAT,48.978,4129.6,0.4213
SUGG,2017-06-06T04:00:00Z,WAT,33.145,3732.4,0.4136
SUGG,2017-06-06T04:00:00Z,AIR,2.106,648.9,0.4108
SUGG,2017-06-26T04:00:00Z,WAT,70.355,6647.4,0.9822
SUGG,2017-06-26T04:00:00Z,WAT,62.603,6293.6,0.8011
SUGG,2017-06-26T04:00:00Z,AIR,2.175,665.7,0.4465
SUGG,2017-06-26T04:00:00Z,WAT,22.858,4661,1.053
SUGG,2017-08-01T04:00:00Z,AIR,1.613,622.69,0.501
SUGG,2017-08-01T04:00:00Z,WAT,77.718,8829.64,0.5003
SUGG,2017-08-01T04:00:00Z,WAT,22.842,7294.4,0.5381
SUGG,2017-08-01T04:00:00Z,WAT,26.378,8311.31,0.6296
SUGG,2017-09-04T04:00:00Z,WAT,4.3459074,5559.0701432,0.9017778
SUGG,2017-09-04T04:00:00Z,WAT,7.5413427,6490.8037664,0.5865173
SUGG,2017-09-04T04:00:00Z,AIR,2.0569246,593.761411,0.6284273
SUGG,2017-09-04T04:00:00Z,WAT,7.8717455,7543.5959331,0.6225616
SUGG,2017-10-03T04:00:00Z,AIR,2.2849424,557.3396178,0.4716624
SUGG,2017-10-03T04:00:00Z,WAT,32.9058938,7747.5334153,0.6493279
SUGG,2017-10-03T04:00:00Z,WAT,20.4675637,9916.9230156,0.5139992
SUGG,2017-10-03T04:00:00Z,WAT,50.1203044,10091.563699,0.6371086
SUGG,2017-11-06T05:00:00Z,WAT,7.3288815,4741.8445689,0.3850019
SUGG,2017-11-06T05:00:00Z,WAT,8.5918878,4930.5933219,0.4283124
SUGG,2017-11-06T05:00:00Z,AIR,1.6078081,597.0235079,0.3983474
SUGG,2017-11-06T05:00:00Z,WAT,50.577268,5733.2042791,0.4071972
SUGG,2017-12-04T05:00:00Z,WAT,25.8701479,5461.8241754,0.5826907
SUGG,2017-12-04T05:00:00Z,WAT,11.4841676,4996.2929281,0.5470661
SUGG,2017-12-04T05:00:00Z,AIR,2.4445783,643.5610875,0.6229211
SUGG,2017-12-04T05:00:00Z,WAT,28.831739,5224.3005644,0.6687693
SUGG,2018-01-03T05:00:00Z,WAT,4.4742407,1806.9869777,0.4997565
SUGG,2018-01-03T05:00:00Z,AIR,2.3488931,530.3647964,0.4528704
SUGG,2018-02-05T05:00:00Z,WAT,12.8394901,2656.8122583,0.6448228
SUGG,2018-02-05T05:00:00Z,AIR,2.0263793,499.136152,0.6593424
SUGG,2018-03-05T05:00:00Z,AIR,2.5735145,501.1338967,0.5424716
SUGG,2018-03-05T05:00:00Z,WAT,14.5900424,4698.0932684,0.5708951
SUGG,2018-04-02T04:00:00Z,AIR,2.8197453,1267.1715281,0.9780439
SUGG,2018-04-02T04:00:00Z,WAT,10.290226,3090.7579877,0.5554934
SUGG,2018-04-30T04:00:00Z,WAT,31.4541224,5824.3344011,0.7090702
SUGG,2018-04-30T04:00:00Z,AIR,2.8063951,585.271379,0.6814396
SUGG,2018-06-04T04:00:00Z,AIR,2.355328,613.5423007,0.3489442
SUGG,2018-06-04T04:00:00Z,WAT,16.645296,4553.8566077,0.3118107
CRAM,2016-06-07T04:00:00Z,AIR,1.930158,659.1953818,0.6091661
CRAM,2016-06-07T04:00:00Z,WAT,20.0148576,806.1537352,0.6693262
CRAM,2016-06-07T04:00:00Z,WAT,14.1838118,860.1174901,0.6588375
CRAM,2016-06-07T04:00:00Z,WAT,14.0874487,909.2834664,0.6009672
CRAM,2016-06-07T04:00:00Z,WAT,3.0695146,4511.873581,0.6287681
CRAM,2016-07-05T04:00:00Z,AIR,2.2564907,988.2210878,0.40849800000000003
CRAM,2016-07-05T04:00:00Z,WAT,16.0663895,914.62594,0.5337411
CRAM,2016-07-05T04:00:00Z,WAT,19.9341164,863.255239,0.4206882
CRAM,2016-07-05T04:00:00Z,WAT,12.7055263,677.5643632,0.4330443
CRAM,2016-07-05T04:00:00Z,WAT,20.3316621,5312.365158,0.5408673
CRAM,2016-08-09T04:00:00Z,AIR,1.51,750.6,0.506
CRAM,2016-08-09T04:00:00Z,WAT,1019.41,7832.1,0.288
CRAM,2016-08-09T04:00:00Z,WAT,19.59,947.1,0.365
CRAM,2016-08-09T04:00:00Z,WAT,22.5,868,0.408
CRAM,2016-08-09T04:00:00Z,WAT,23.57,783.9,0.366
CRAM,2016-09-07T04:00:00Z,WAT,9.83,987.5,0.767
CRAM,2016-09-07T04:00:00Z,AIR,0.78,1134.1,0.775
CRAM,2016-09-07T04:00:00Z,WAT,10.77,930.7,0.745
CRAM,2016-09-07T04:00:00Z,WAT,1806.48,7516.5,0.509
CRAM,2016-09-07T04:00:00Z,WAT,10.01,1023,0.782
CRAM,2016-09-27T04:00:00Z,WAT,12.91,1309.9,1.318
CRAM,2016-09-27T04:00:00Z,WAT,11.41,927.9,0.82
CRAM,2016-09-27T04:00:00Z,WAT,12.13,1198.2,0.799
CRAM,2016-09-27T04:00:00Z,AIR,0.91,1254.7,0.769
CRAM,2016-09-27T04:00:00Z,WAT,4341.71,8087.3,0.508
CRAM,2016-10-18T04:00:00Z,WAT,4491.909,7676.5,0.584
CRAM,2016-10-18T04:00:00Z,AIR,2.374,1192.2,0.836
CRAM,2016-10-18T04:00:00Z,WAT,11.512,1143.8,0.771
CRAM,2016-11-08T05:00:00Z,WAT,8.645,1677.2,0.784
CRAM,2016-11-08T05:00:00Z,AIR,2.37,2953.2,0.698
CRAM,2016-11-08T05:00:00Z,WAT,8.459,1732.1,0.806
CRAM,2016-11-08T05:00:00Z,WAT,8.141,2157.8,0.78
CRAM,2016-11-08T05:00:00Z,WAT,4878.442,8104.8,0.539
CRAM,2016-11-21T05:00:00Z,WAT,24.75,1238,1.07
CRAM,2016-11-21T05:00:00Z,WAT,6.194,5799.5,0.863
CRAM,2016-11-21T05:00:00Z,AIR,2.381,1062.5,1.035
CRAM,2016-11-21T05:00:00Z,WAT,25.323,1270.5,1.042
CRAM,2017-02-07T05:00:00Z,AIR,2.191,1216.5,0.526
CRAM,2017-02-07T05:00:00Z,WAT,2.312,1582.1,0.892
CRAM,2017-03-08T05:00:00Z,WAT,8.751,1403,0.658
CRAM,2017-03-08T05:00:00Z,AIR,2.199,1020.6,0.469
CRAM,2017-04-18T04:00:00Z,WAT,13.957,1810.9,0.7271
CRAM,2017-04-18T04:00:00Z,AIR,2.928,1381.3,0.6207
CRAM,2017-04-18T04:00:00Z,WAT,16.257,1862.1,0.8279
CRAM,2017-04-18T04:00:00Z,WAT,8.975,3075.8,0.8039
CRAM,2017-04-18T04:00:00Z,WAT,13.986,1769.6,0.837
CRAM,2017-05-02T04:00:00Z,AIR,5.073,1258,0.879
CRAM,2017-05-02T04:00:00Z,WAT,6.022,1087.9,0.4806
CRAM,2017-05-02T04:00:00Z,WAT,5.318,1124,0.76
CRAM,2017-05-02T04:00:00Z,WAT,4.898,3352.2,0.8927
CRAM,2017-05-02T04:00:00Z,WAT,6.027,1226,0.9491
CRAM,2017-06-06T04:00:00Z,WAT,13.58,1454.6,0.5436
CRAM,2017-06-06T04:00:00Z,WAT,4.976,4925.3,0.7942
CRAM,2017-06-06T04:00:00Z,WAT,12.701,1445,0.6224
CRAM,2017-06-06T04:00:00Z,AIR,2.192,2509,0.4522
CRAM,2017-06-06T04:00:00Z,WAT,13.98,1706.4,0.507
CRAM,2017-07-11T04:00:00Z,AIR,2.274,1883.7,0.4829
CRAM,2017-07-11T04:00:00Z,WAT,124.606,6723.5,0.6609
CRAM,2017-07-11T04:00:00Z,WAT,14.427,995.3,0.4692
CRAM,2017-07-11T04:00:00Z,WAT,18.869,1104.3,0.4647
CRAM,2017-07-11T04:00:00Z,WAT,13.789,1031.7,0.6457
CRAM,2017-08-01T04:00:00Z,AIR,1.5432669,2039.2551433,0.6313954
CRAM,2017-08-01T04:00:00Z,WAT,12.7233027,1141.9551253,0.6333487
CRAM,2017-08-01T04:00:00Z,WAT,16.5618388,1062.7559984,0.4865843
CRAM,2017-08-01T04:00:00Z,WAT,967.4154438,7723.4878334000005,0.5478294
CRAM,2017-08-01T04:00:00Z,WAT,33.9848331,1397.6524186,0.5463289
CRAM,2017-08-29T04:00:00Z,WAT,9.3057508,938.8959301,0.3368161
CRAM,2017-08-29T04:00:00Z,WAT,1682.5479175,5300.6075349,0.2376215
CRAM,2017-08-29T04:00:00Z,WAT,15.0250546,946.3770055,0.343698
CRAM,2017-08-29T04:00:00Z,AIR,2.0513827,723.1862302,0.3397394
CRAM,2017-08-29T04:00:00Z,WAT,8.7185998,769.8936139,0.4302866
CRAM,2017-10-03T04:00:00Z,WAT,3224.205215,7762.925706,0.1785721
CRAM,2017-10-03T04:00:00Z,AIR,2.1363507,967.993765,0.3165609
CRAM,2017-10-03T04:00:00Z,WAT,7.1778574,1054.2884683,0.3499525
CRAM,2017-10-03T04:00:00Z,WAT,8.5509575,1081.2977447,0.3522765
CRAM,2017-10-03T04:00:00Z,WAT,8.2248613,1061.7259958,0.3589425
CRAM,2017-10-16T04:00:00Z,WAT,19.6303844,1698.5454357,0.3620317
CRAM,2017-10-16T04:00:00Z,WAT,18.4137075,1658.1160791,0.3696708
CRAM,2017-10-16T04:00:00Z,WAT,21.0647602,1739.7713492,0.4418277
CRAM,2017-10-16T04:00:00Z,AIR,1.5130552,2225.5552481,1.75815
CRAM,2017-10-16T04:00:00Z,WAT,5782.7592908,9009.4580194,0.1813511
CRAM,2017-11-07T05:00:00Z,WAT,26.3920261,1354.9621735,0.5839907
CRAM,2017-11-07T05:00:00Z,AIR,1.3431318,1494.9014913,0.502905
CRAM,2017-11-07T05:00:00Z,WAT,28.3338408,1299.4982794,0.6653142
CRAM,2017-11-07T05:00:00Z,WAT,18.9711225,1469.1518739,0.6262144
CRAM,2018-02-13T05:00:00Z,AIR,2.1474492,1002.7955394,0.4282457
CRAM,2018-02-13T05:00:00Z,WAT,3.7993957,2220.9802153,0.6660494
CRAM,2018-03-05T05:00:00Z,AIR,3.0565195,571.4724801,0.5357997
CRAM,2018-03-05T05:00:00Z,WAT,3.0898578,1550.6518441,0.621677
CRAM,2018-05-07T04:00:00Z,WAT,16.5373999,2628.5854338,0.8231388
CRAM,2018-05-07T04:00:00Z,AIR,2.2808815,643.5786251,0.8153699
CRAM,2018-05-07T04:00:00Z,WAT,35.2687912,3471.9029542,0.7995816
CRAM,2018-05-22T04:00:00Z,WAT,3.3823142,3717.1933028,0.8830633
CRAM,2018-05-22T04:00:00Z,AIR,2.6528064,633.0040662,0.7486164
CRAM,2018-05-22T04:00:00Z,WAT,12.866139,789.2902468,0.6457411
CRAM,2018-06-05T04:00:00Z,WAT,15.1624397,814.9513191,0.3253994
CRAM,2018-06-05T04:00:00Z,AIR,2.2952724,836.6637786,0.5492264
CRAM,2018-06-05T04:00:00Z,WAT,2.0755336,710.5586178,0.5661942
CRAM,2018-07-10T04:00:00Z,WAT,183.793808,4448.7896072,0.4531933
CRAM,2018-07-10T04:00:00Z,AIR,2.1225859,917.2279332,2.563189
CRAM,2018-07-10T04:00:00Z,WAT,9.571432,890.7475061,0.5485067
CRAM,2018-10-02T04:00:00Z,WAT,8.6117722,1349.1152274,0.8652585
CRAM,2018-10-02T04:00:00Z,AIR,1.7100399,1117.1594613,0.4190994
CRAM,2018-10-02T04:00:00Z,WAT,2433.6216944,5751.4082128,0.3828214
CRAM,2018-10-16T04:00:00Z,WAT,92.7754892,1757.5678314,1.3045188
CRAM,2018-10-16T04:00:00Z,AIR,2.8628863,631.3781494,0.4080817
CRAM,2018-10-16T04:00:00Z,WAT,6600.0422087,7050.9750474,0.3131794
LIRO,2017-05-01T04:00:00Z,AIR,2.467,1521.1,0.6916
LIRO,2017-05-01T04:00:00Z,WAT,27.209,1201.8,0.849
LIRO,2017-05-01T04:00:00Z,WAT,19.44,1087,0.6313
LIRO,2017-05-01T04:00:00Z,WAT,14.297,1107.8,0.5151
LIRO,2017-06-05T04:00:00Z,WAT,145.735,1970.2,0.5064
LIRO,2017-06-05T04:00:00Z,WAT,110.681,1741.2,0.651
LIRO,2017-06-05T04:00:00Z,AIR,2.349,1331.9,0.5596
LIRO,2017-06-05T04:00:00Z,WAT,70.696,1311.5,0.696
LIRO,2017-07-10T04:00:00Z,AIR,2.359,654,0.5698
LIRO,2017-07-10T04:00:00Z,WAT,40.875,1904,0.4792
LIRO,2017-07-10T04:00:00Z,WAT,9.47,1888.8,0.7307
LIRO,2017-07-10T04:00:00Z,WAT,21.159,1732.7,0.4605
LIRO,2017-07-31T04:00:00Z,WAT,132.8482508,2259.3314231,0.5413185
LIRO,2017-07-31T04:00:00Z,AIR,1.3118533000000001,1310.452078,0.3850711
LIRO,2017-07-31T04:00:00Z,WAT,103.4363876,2341.7748286,0.4018423
LIRO,2017-07-31T04:00:00Z,WAT,43.9608269,1971.2340489,0.407767
LIRO,2017-08-28T04:00:00Z,WAT,38.5664307,1835.5248188,0.5767425
LIRO,2017-08-28T04:00:00Z,AIR,1.9088097,1103.7295506,0.4982199
LIRO,2017-08-28T04:00:00Z,WAT,67.7145114,2044.7228305,0.5606189
LIRO,2017-08-28T04:00:00Z,WAT,26.2216426,1832.8067512,0.7392296
LIRO,2017-10-02T04:00:00Z,WAT,35.0491482,2203.1293653,0.3124163
LIRO,2017-10-02T04:00:00Z,AIR,1.8348269,1425.649221,0.3502909
LIRO,2017-10-02T04:00:00Z,WAT,49.4374539,1877.0932586,0.3081964
LIRO,2017-10-02T04:00:00Z,WAT,22.4636319,1832.7761956,0.3569802
LIRO,2017-10-23T04:00:00Z,WAT,31.0169795,2039.760432,0.3748599
LIRO,2017-10-23T04:00:00Z,WAT,14.3711731,2018.0177445,0.3477534
LIRO,2017-10-23T04:00:00Z,WAT,5.269378,2077.6431948,0.3522789
LIRO,2017-10-23T04:00:00Z,AIR,1.2979218,1658.259285,0.3110595
LIRO,2018-02-12T05:00:00Z,AIR,1.9790833,572.9494828,0.4408886
LIRO,2018-02-12T05:00:00Z,WAT,3.7279232,3091.0037626,0.8191175
LIRO,2018-03-06T05:00:00Z,AIR,2.7504732,3051.0525985,0.6884733
LIRO,2018-03-06T05:00:00Z,WAT,2.216819,572.8657829,0.5212296
LIRO,2018-05-14T04:00:00Z,AIR,2.6418329,751.5680716,0.4886662
LIRO,2018-05-14T04:00:00Z,WAT,16.2770541,3243.4832968,1.1632071
LIRO,2018-05-14T04:00:00Z,WAT,3.763067,3165.5192625,0.6639414
LIRO,2018-05-21T04:00:00Z,AIR,2.8882083,624.0974975,0.4015961
LIRO,2018-05-21T04:00:00Z,WAT,21.8771779,2888.3308812,0.874085
LIRO,2018-05-21T04:00:00Z,WAT,6.3223391,4955.3574839,0.9949606
LIRO,2018-06-04T04:00:00Z,WAT,72.7404217,1336.0496202,0.4181955
LIRO,2018-06-04T04:00:00Z,AIR,8.5728109,3008.8093434,0.8106519
LIRO,2018-06-04T04:00:00Z,WAT,3.5475489,6731.9906466,0.8887381
LIRO,2018-07-02T04:00:00Z,WAT,9.1965677,3780.8844979,0.4879191
LIRO,2018-07-02T04:00:00Z,AIR,1.9076661,983.3135932,0.5832061
LIRO,2018-07-02T04:00:00Z,WAT,25.8314541,1467.4396166,0.5443435
LIRO,2018-10-22T04:00:00Z,AIR,1.7978694,618.8414179,0.5213643
LIRO,2018-10-22T04:00:00Z,WAT,6.8470344,1720.1851113,0.8637073
PRLA,2016-06-08T04:00:00Z,AIR,1.9968904,510.0381591,0.6128771
PRLA,2016-06-08T04:00:00Z,WAT,45.5802838,802.0862821,0.485717
PRLA,2016-06-08T04:00:00Z,WAT,24.9442422,556.8273625,0.4469629
PRLA,2016-06-08T04:00:00Z,WAT,16.5001989,627.6750231,0.6254763
PRLA,2016-07-08T04:00:00Z,WAT,32.4201088,887.5107598,0.347145
PRLA,2016-07-08T04:00:00Z,WAT,16.4862806,702.6209228,0.3351381
PRLA,2016-07-08T04:00:00Z,AIR,2.1513784,569.7279935,0.5261945
PRLA,2016-08-03T04:00:00Z,WAT,4.91,517.5,0.463
PRLA,2016-08-03T04:00:00Z,AIR,1.71,1298.2,0.353
PRLA,2016-08-03T04:00:00Z,WAT,2.07,664,0.444
PRLA,2016-08-03T04:00:00Z,WAT,2.54,422.6,0.314
PRLA,2016-09-07T04:00:00Z,WAT,17.01381,481.36924,0.75792
PRLA,2016-09-07T04:00:00Z,WAT,14.88164,695.7515,0.97384
PRLA,2016-09-07T04:00:00Z,AIR,2.8616,511.33433,0.82594
PRLA,2016-09-07T04:00:00Z,WAT,5.37456,567.49696,0.77609
PRLA,2016-10-19T04:00:00Z,WAT,5.54,332.1,0.914
PRLA,2016-10-19T04:00:00Z,AIR,0.76,271.4,0.797
PRLA,2016-10-19T04:00:00Z,WAT,7.35,331.5,0.701
PRLA,2016-10-19T04:00:00Z,WAT,4.65,381.6,0.727
PRLA,2016-11-16T05:00:00Z,WAT,2.95,1256.8,1.051
PRLA,2016-11-16T05:00:00Z,WAT,2.97,3014.5,1.126
PRLA,2016-11-16T05:00:00Z,AIR,2.94,983.3,1.158
PRLA,2016-11-16T05:00:00Z,WAT,2.95,1291.3,1.081
PRLA,2016-12-19T05:00:00Z,WAT,94.246,1610.4,0.797
PRLA,2016-12-19T05:00:00Z,AIR,2.119,1504.3,0.62
PRLA,2017-01-18T05:00:00Z,AIR,2.061,1079.1,0.481
PRLA,2017-01-18T05:00:00Z,WAT,18.594,3400,0.762
PRLA,2017-02-13T05:00:00Z,AIR,2.272,808.7,0.599
PRLA,2017-02-13T05:00:00Z,WAT,781.5,3770.9,0.464
PRLA,2017-03-22T04:00:00Z,WAT,3262.057,185.9,0.488
PRLA,2017-03-22T04:00:00Z,AIR,2.441,870.2,0.527
PRLA,2017-04-12T04:00:00Z,WAT,85.431,604.9,0.603
PRLA,2017-04-12T04:00:00Z,AIR,1.989,486,0.525
PRLA,2017-04-12T04:00:00Z,WAT,58.539,496.4,0.602
PRLA,2017-04-12T04:00:00Z,WAT,73.071,632.3,0.623
PRLA,2017-05-03T04:00:00Z,AIR,1.991,435.4,0.428
PRLA,2017-05-03T04:00:00Z,WAT,98.018,279.3,-0.05
PRLA,2017-05-03T04:00:00Z,WAT,37.577,242.6,0.424
PRLA,2017-05-03T04:00:00Z,WAT,88.417,255.6,0.576
PRLA,2017-06-08T04:00:00Z,AIR,1.833,540,0.4658
PRLA,2017-06-08T04:00:00Z,WAT,13.57,836.4,0.4846
PRLA,2017-06-08T04:00:00Z,WAT,17.878,776.9,0.5472
PRLA,2017-06-08T04:00:00Z,WAT,24.245,821.6,0.378
PRLA,2017-07-06T04:00:00Z,WAT,27.203,958.06,0.6073
PRLA,2017-07-06T04:00:00Z,WAT,18.399,843.69,0.4488
PRLA,2017-07-06T04:00:00Z,WAT,13.529,781.71,0.7625
PRLA,2017-07-06T04:00:00Z,AIR,1.328,583.85,0.5701
PRLA,2017-08-03T04:00:00Z,WAT,137.374,1035.29,0.6036
PRLA,2017-08-03T04:00:00Z,WAT,138.53,1104.77,0.6236
PRLA,2017-08-03T04:00:00Z,WAT,136.23,1102.51,0.5057
PRLA,2017-08-03T04:00:00Z,AIR,0.866,670.04,0.4474
