Lake,namedLocation,Date,pH,DIC,DOC,TOC,TN,NIT,AMM,TDN,TP,FRP,TDP
BARC,BARC.AOS.buoy.c0,2017-10-10T04:00:00Z,5.26,0.5084,2.491,2.57,0.2291,0.0233,0.14,0.191,0.028,0.007,0.006
BARC,BARC.AOS.inlet,2017-10-10T04:00:00Z,5.25,0.4928,2.382,2.52,0.2004,0.0202,0.14,0.195,0.03,0.009,0.002
BARC,BARC.AOS.outlet,2017-10-10T04:00:00Z,5.26,0.478,2.464,2.66,0.2502,0.0206,0.12,0.1776,0.032,0.007,0.004
BARC,BARC.AOS.buoy.c0,2017-11-07T05:00:00Z,5.34,0.8077,2.339,2.4,0.1224,0.0111,0.13,0.1019,0.004,0.009,0.002
BARC,BARC.AOS.inlet,2017-11-07T05:00:00Z,5.28,0.7155,2.308,2.36,0.1168,0.0742,0.12,0.108,0.004,0.01,0.003
BARC,BARC.AOS.outlet,2017-11-07T05:00:00Z,5.39,0.6717,2.376,2.5,0.1372,0.0141,0.12,0.0895,0.002,0.014,0.001
BARC,BARC.AOS.buoy.c0,2017-12-05T05:00:00Z,5.19,0.3997,2.576,2.25,-0.1011,0.0113,0.11,-0.1281,0.006,0.009,0.004
BARC,BARC.AOS.inlet,2017-12-05T05:00:00Z,5.16,0.2582,2.263,2.14,-0.1152,0.0074,0.1,-0.1389,0.015,0.009,0.013
BARC,BARC.AOS.outlet,2017-12-05T05:00:00Z,5.41,0.3265,2.51,2.27,-0.143,0.0101,0.11,-0.1245,0.012,0.008,0.01
BARC,BARC.AOS.buoy.c0,2018-01-04T05:00:00Z,6.37,0.3643,2.204,2.19,0.1209,0.0118,0.09,0.115,0.021,0.07,0.018
BARC,BARC.AOS.buoy.c0,2018-02-06T05:00:00Z,5.43,0.3022,2.196,2.35,0.1584,0.0172,0.1,0.1256,0.001,0.022,0.001
BARC,BARC.AOS.buoy.c0,2018-03-05T05:00:00Z,4.94,0.4388,2.259,2.18,0.1666,0.0379,0.04,0.1638,0.001,0.009,5e-4
BARC,BARC.AOS.buoy.c0,2018-04-02T04:00:00Z,4.76,0.2103,6.992,6.99,1.086,0.0938,0.02,1.077,0.0221,0.063,0.0113
BARC,BARC.AOS.buoy.c0,2018-04-30T04:00:00Z,4.76,0.3404,2.469,2.35,0.188,-0.0059,0.03,0.1864,0.0203,0.02,5e-4
BARC,BARC.AOS.buoy.c0,2018-06-05T04:00:00Z,5.6,0.3768,2.865,2.6,0.1587,0.0082,0.04,0.1483,0.0195,0.041,5e-4
BARC,BARC.AOS.buoy.c0,2018-06-05T04:00:00Z,5.32,0.3756,2.713,2.81,0.1767,0.0198,0.03,0.1537,0.022,0.019,5e-4
BARC,BARC.AOS.buoy.c0,2018-06-05T04:00:00Z,5.68,0.4162,2.639,2.82,0.1736,0.0071,0.02,0.1398,0.021,0.014,5e-4
BARC,BARC.AOS.buoy.c0,2018-07-31T04:00:00Z,5.71,0.6104,2.909,3.08,0.2458,0.0176,0.02,0.1876,0.009,0.012,5e-4
BARC,BARC.AOS.buoy.c0,2018-07-31T04:00:00Z,5.67,0.6838,2.669,2.69,0.1945,0.0153,0.02,0.1807,0.007,0.011,5e-4
BARC,BARC.AOS.buoy.c0,2018-07-31T04:00:00Z,5.73,0.6421,2.73,2.82,0.2139,0.0168,0.02,0.1954,0.004,0.01,5e-4
SUGG,SUGG.AOS.buoy.c0,2016-10-11T04:00:00Z,5.05,0.369,31.13,33.03,1.18,0.003,0.09,1.106,0.05,0.167,0.024
SUGG,SUGG.AOS.inlet,2016-10-11T04:00:00Z,5.04,0.378,31.35,33.13,1.22,0.001,0.05,1.132,0.034,0.16,0.022
SUGG,SUGG.AOS.outlet,2016-10-11T04:00:00Z,5.1,0.4803,31.8,32.9,1.18,-0.005,0.04,1.108,0.039,0.133,0.002
SUGG,SUGG.AOS.buoy.c0,2016-10-31T04:00:00Z,5.16,0.569,33.86,35.91,1.204,0.002,0.25,1.138,5e-4,0.068,5e-4
SUGG,SUGG.AOS.inlet,2016-10-31T04:00:00Z,4.99,0.7703,33.87,35.57,1.238,-0.002,0.2,1.218,0.019,0.074,0.017
SUGG,SUGG.AOS.outlet,2016-10-31T04:00:00Z,5.05,0.67490000000000006,34.39,35.48,1.208,-0.001,0.14,1.172,0.01,0.072,0.009
SUGG,SUGG.AOS.buoy.c0,2016-12-05T05:00:00Z,4.98,0.5452,36.33,38.87,1.256,0.008,0.06,1.171,0.003,0.104,0.002
SUGG,SUGG.AOS.inlet,2016-12-05T05:00:00Z,4.97,0.5446,40.39,42.33,1.27,0.006,0.06,1.149,0.002,0.081,0.001
SUGG,SUGG.AOS.outlet,2016-12-05T05:00:00Z,4.98,0.5221,38.36,37.72,1.249,0.003,0.06,1.201,0.004,0.156,0.002
SUGG,SUGG.AOS.buoy.c0,2017-01-31T05:00:00Z,5.16,0.4229,36.84,37.29,1.234,0.009,0.08,1.236,0.001,0.044,5e-4
SUGG,SUGG.AOS.inlet,2017-01-31T05:00:00Z,5.17,0.3977,38.2,38.57,1.218,0.001,0.06,1.25,0.006,0.044,5e-4
SUGG,SUGG.AOS.outlet,2017-01-31T05:00:00Z,5.25,0.3539,38.55,39.26,1.26,0.01,0.09,1.239,0.004,0.043,5e-4
SUGG,SUGG.AOS.buoy.c0,2017-02-28T05:00:00Z,5.84,0.523,31.8,35.19,1.341,0.008,0.08,1.202,0.0205,0.043,0.01
SUGG,SUGG.AOS.inlet,2017-02-28T05:00:00Z,5.33,0.3256,34.56,35.48,1.284,0.004,0.1,1.201,0.014,0.044,0.0125
SUGG,SUGG.AOS.outlet,2017-02-28T05:00:00Z,5.27,0.301,34.93,35.53,1.294,0.004,0.14,1.21,0.018,0.044,0.0105
SUGG,SUGG.AOS.buoy.c0,2017-04-03T04:00:00Z,5.02,0.6128,35.29,35.26,1.338,0.002,0,1.259,0.014,0.037,0.012
SUGG,SUGG.AOS.inlet,2017-04-03T04:00:00Z,5.04,0.3783,38.03,36.77,1.428,-0.002,0,1.421,0.021,0.037,0.019
SUGG,SUGG.AOS.outlet,2017-04-03T04:00:00Z,5.08,0.3789,37.17,36.84,1.41,-0.002,0.01,1.41,0.017,0.037,0.016
SUGG,SUGG.AOS.buoy.c0,2017-05-01T04:00:00Z,5.02,0.3493,37.24,38.35,1.526,0.015,0.07,1.417,0.019,0.03,0.013
SUGG,SUGG.AOS.inlet,2017-05-01T04:00:00Z,5.02,0.5638,37.03,38.9,1.559,0.005,0.06,1.301,0.006,0.031,0.004
SUGG,SUGG.AOS.outlet,2017-05-01T04:00:00Z,5.23,0.5648,36.5,39.01,1.451,0.003,0.08,1.303,0.008,0.031,0.0055
SUGG,SUGG.AOS.buoy.c0,2017-06-06T04:00:00Z,5.05,0.4572,33.69,35.16,1.331,0.011,0.08,1.295,0.043,0.014,0.006
SUGG,SUGG.AOS.buoy.c0,2017-06-06T04:00:00Z,4.99,0.6224,35.15,35.29,1.355,0.012,0.09,1.264,0.042,0.012,0.005
SUGG,SUGG.AOS.buoy.c0,2017-06-06T04:00:00Z,5.23,0.5041,35.11,34.04,1.318,0.02,0.14,1.317,0.041,0.016,0.005
SUGG,SUGG.AOS.inlet,2017-06-06T04:00:00Z,5.07,0.3733,34.81,35.25,1.336,0.009,0.07,1.217,0.037,0.014,0.009
SUGG,SUGG.AOS.outlet,2017-06-06T04:00:00Z,5.68,0.4975,35.7,35.54,1.338,0.008,0.06,1.32,0.028,0.013,0.006
SUGG,SUGG.AOS.buoy.c0,2017-06-26T04:00:00Z,4.93,0.8803,39.27,42.12,1.605,0.013,0.18,1.483,0.021,0.04,0.0012
SUGG,SUGG.AOS.inlet,2017-06-26T04:00:00Z,5.79,0.8968,39.91,41.49,1.542,0.005,0.12,1.398,0.031,0.038,5e-4
SUGG,SUGG.AOS.outlet,2017-06-26T04:00:00Z,4.98,1.008,40.51,42.18,1.576,0.014,0.17,1.47,0.004,0.042,0.0029
SUGG,SUGG.AOS.buoy.c0,2017-08-01T04:00:00Z,4.66,0.986,49.19,48.76,1.813,0.057,0.28,1.865,0.1063,0.088,0.0812
SUGG,SUGG.AOS.inlet,2017-08-01T04:00:00Z,4.66,1.142,47.82,50.05,1.851,0.0537,0.29,1.8206,0.106,0.102,0.105
SUGG,SUGG.AOS.outlet,2017-08-01T04:00:00Z,4.66,1.271,46.46,49.92,1.831,0.0536,0.18,1.825,0.105,0.097,0.104
SUGG,SUGG.AOS.buoy.c0,2017-09-04T04:00:00Z,4.59,0.8383,46.9,50.06,1.9592,0.0228,0.34,2.087,0.057,0.092,0.0547
SUGG,SUGG.AOS.buoy.c0,2017-09-04T04:00:00Z,4.6,0.9816,49,50.06,2.02,0.0217,0.35,2.004,0.059,0.093,0.055
SUGG,SUGG.AOS.buoy.c0,2017-09-04T04:00:00Z,4.58,0.9059,48.76,48.8,1.8636,0.0243,0.37,2,0.063,0.093,0.057
SUGG,SUGG.AOS.inlet,2017-09-04T04:00:00Z,4.56,1.17,47.27,50.2,1.8316,0.0233,0.25,1.948,0.068,0.077,0.0601
SUGG,SUGG.AOS.outlet,2017-09-04T04:00:00Z,4.61,0.7741,48.32,49.24,2.063,0.0246,0.35,1.982,0.062,0.095,0.0555
SUGG,SUGG.AOS.buoy.c0,2017-10-03T04:00:00Z,4.76,1.555,5.298,5.36,0.0474,0.0488,1.27,0.0256,0.219,0.157,0.151
SUGG,SUGG.AOS.inlet,2017-10-03T04:00:00Z,4.69,1.543,5.556,5.83,0.0559,0.0305,1.17,0.0352,0.236,0.167,0.14
SUGG,SUGG.AOS.outlet,2017-10-03T04:00:00Z,4.66,1.999,4.898,5.63,0.0796,0.0313,1.2,0.0312,0.225,0.166,0.151
SUGG,SUGG.AOS.buoy.c0,2017-11-06T05:00:00Z,4.79,0.6057,68.25,71.19,3.404,0.0284,1.47,3.478,0.131,0.182,0.129
SUGG,SUGG.AOS.inlet,2017-11-06T05:00:00Z,4.82,0.6593,71.85,70.65,3.507,0.022,0.11,3.725,0.132,0.036,0.128
SUGG,SUGG.AOS.outlet,2017-11-06T05:00:00Z,4.82,0.724,69.91,70.21,3.63,0.0298,0.14,3.505,0.134,0.02,0.13
SUGG,SUGG.AOS.buoy.c0,2017-12-04T05:00:00Z,4.72,0.5348,59.76,58.21,0.9339,0.0208,1.33,0.8069,0.135,0.164,0.126
SUGG,SUGG.AOS.inlet,2017-12-04T05:00:00Z,4.68,0.4855,60.89,65.27,1.359,0.0214,1.47,0.9324,0.133,0.156,0.124
SUGG,SUGG.AOS.outlet,2017-12-04T05:00:00Z,4.74,0.4693,60.36,63.02,0.9919,0.0206,1.36,0.7274,0.134,0.162,0.126
SUGG,SUGG.AOS.buoy.c0,2018-01-03T05:00:00Z,4.99,0.4394,5.948,5.93,0.3721,0.0277,1.46,0.3643,0.142,0.178,0.134
SUGG,SUGG.AOS.buoy.c0,2018-02-05T05:00:00Z,4.98,0.4621,75.83,72.66,3.633,0.0456,1.52,3.385,0.108,0.182,0.005
SUGG,SUGG.AOS.buoy.c0,2018-03-05T05:00:00Z,4.67,0.9217,75.64,76.83,4.472,0.0045,1.37,4.433,0.002,0.182,0.001
SUGG,SUGG.AOS.buoy.c0,2018-04-02T04:00:00Z,4.49,1.102,65.23,75.99,4.671,0.0177,1.16,3.959,0.1105,0.18,0.1084
SUGG,SUGG.AOS.buoy.c0,2018-04-30T04:00:00Z,4.18,1.614,54.84,58.5,3.06,0.0058,1.14,2.923,0.1705,0.021,0.06
SUGG,SUGG.AOS.buoy.c0,2018-06-04T04:00:00Z,4.78,0.633,48.91,57.57,3.054,0.0164,1.11,2.973,0.179,0.137,0.118
SUGG,SUGG.AOS.buoy.c0,2018-06-04T04:00:00Z,4.7,0.7962,54.66,60.02,3.359,0.0203,1.08,2.951,0.184,0.13,0.116
SUGG,SUGG.AOS.buoy.c0,2018-06-04T04:00:00Z,4.72,0.7535,54.15,59.23,3.052,0.018,1.09,2.897,0.176,0.128,0.1112
SUGG,SUGG.AOS.buoy.c0,2018-07-09T04:00:00Z,4.54,0.5874,50.19,52.78,2.874,0.002,1.02,2.324,0.301,0.148,0.124
SUGG,SUGG.AOS.buoy.c0,2018-07-30T04:00:00Z,4.68,1.191,49.87,52.54,2.806,0.0217,1.23,2.396,0.189,0.194,0.157
SUGG,SUGG.AOS.buoy.c0,2018-07-30T04:00:00Z,4.67,1.231,50.85,53.06,2.616,0.0123,1.22,2.581,0.211,0.183,0.175
CRAM,CRAM.AOS.outlet,2015-05-05T04:00:00Z,5.85,0.2947,4.166,4.4,0.3106,0.007,0.02,0.2249,0.024,0.023,5e-4
CRAM,CRAM.AOS.inlet,2015-05-05T04:00:00Z,5.19,0.3793,4.123,4.72,0.3038,0.005,0.03,0.2566,5e-4,0.022,5e-4
CRAM,CRAM.AOS.buoy.c1,2015-05-05T04:00:00Z,6.19,0.3038,4.205,4.5,0.3034,0.014,0.03,0.2283,5e-4,0.021,5e-4
CRAM,CRAM.AOS.buoy.c2,2015-05-05T04:00:00Z,5.73,0.3625,4.095,4.45,0.3118,0.004,0.03,0.2399,0.007,0.021,5e-4
CRAM,CRAM.AOS.outlet,2015-06-02T04:00:00Z,5.88,0.2143,4.348,4.72,0.262,0.002,0.05,0.2421,5e-4,0.019,5e-4
CRAM,CRAM.AOS.inlet,2015-06-02T04:00:00Z,5.82,0.3182,4.313,4.65,0.2558,-0.001,0.04,0.2792,5e-4,0.017,5e-4
CRAM,CRAM.AOS.buoy.c1,2015-06-02T04:00:00Z,6.07,0.2352,4.3,4.75,0.2485,0.002,0.06,0.2346,5e-4,0.017,5e-4
CRAM,CRAM.AOS.buoy.c2,2015-06-02T04:00:00Z,6.11,0.4403,4.381,4.57,0.3417,0.027,0.06,0.2983,0.0827,0.016,5e-4
CRAM,CRAM.AOS.outlet,2015-06-29T04:00:00Z,5.13,NA,NA,4.48,0.2907,NA,NA,NA,0.008,NA,NA
CRAM,CRAM.AOS.inlet,2015-06-29T04:00:00Z,5.09,0.466,4.825,4.93,0.3165,-0.001,0.03,0.2588,0.009,0.212,5e-4
CRAM,CRAM.AOS.outlet,2016-10-18T04:00:00Z,6.35,0.5183,4.113,4.3,0.2402,0.01,0.04,0.2134,5e-4,0.089,5e-4
CRAM,CRAM.AOS.inlet,2016-10-18T04:00:00Z,6.6,0.3982,4.31,4.41,0.2628,0.002,0.03,0.1796,0.005,0.079,0.002
CRAM,CRAM.AOS.buoy.c1,2016-10-18T04:00:00Z,6.23,0.3979,4.203,4.39,0.2539,0.019,0,0.2221,0.006,0.122,0.006
CRAM,CRAM.AOS.buoy.c2,2016-10-18T04:00:00Z,6.02,2.182,3.99,4,0.4397,0.003,0.23,0.4511,0.019,0.082,0.018
CRAM,CRAM.AOS.outlet,2016-11-08T05:00:00Z,6.36,0.5443,4.232,4.59,0.259,0.011,0.14,0.208,0.032,0.044,0.033
CRAM,CRAM.AOS.inlet,2016-11-08T05:00:00Z,6.23,0.6394,4.182,4.5,0.2431,0.011,0.17,0.2078,0.008,0.064,0.007
CRAM,CRAM.AOS.buoy.c1,2016-11-08T05:00:00Z,6.19,0.6023,4.14,4.46,0.2764,0.033,0.17,0.1922,0.019,0.248,0.017
CRAM,CRAM.AOS.buoy.c2,2016-11-08T05:00:00Z,6.38,2.236,4.383,4.14,0.551,0.009,0.46,0.5785,0.039,0.097,0.032
CRAM,CRAM.AOS.outlet,2016-11-21T05:00:00Z,6.4,0.54990000000000006,4.32,4.59,0.267,0.007,0.13,0.2446,0.005,0.132,0.003
CRAM,CRAM.AOS.inlet,2016-11-21T05:00:00Z,6.17,0.5812,4.248,4.52,0.2541,0.009,0.12,0.2643,0.041,0.294,0.034
CRAM,CRAM.AOS.buoy.c0,2016-11-21T05:00:00Z,5.84,2.196,4.501,4.72,0.277,0.012,0.13,0.2457,0.011,0.171,0.008
CRAM,CRAM.AOS.buoy.c0,2017-02-07T05:00:00Z,6.36,0.6812,4.444,4.87,0.3169,0.025,-0.08,0.2608,0.003,0.032,0.001
CRAM,CRAM.AOS.buoy.c0,2017-03-08T05:00:00Z,5.32,0.509,3.737,3.58,0.467,0.089,0.16,0.4539,0.001,0.049,5e-4
CRAM,CRAM.AOS.outlet,2017-04-18T04:00:00Z,6.16,0.5857,4.103,4.38,0.3238,0.059,0.02,0.2796,0.033,0.019,0.025
CRAM,CRAM.AOS.inlet,2017-04-18T04:00:00Z,6.34,0.5774,4.234,4.56,0.3252,0.055,0.05,0.2608,0.005,0.018,0.004
CRAM,CRAM.AOS.buoy.c1,2017-04-18T04:00:00Z,6.3,0.771,4.082,4.36,0.3052,0.061,0.04,0.3123,0.004,0.017,0.002
CRAM,CRAM.AOS.buoy.c2,2017-04-18T04:00:00Z,6.18,0.9977,3.889,4.34,0.3449,0.068,0.05,0.2838,0.008,0.019,0.006
CRAM,CRAM.AOS.outlet,2017-05-02T04:00:00Z,5.71,0.5624,1.417,4.41,0.3324,0.009,0.04,0.538,0.006,0.016,0.0045
CRAM,CRAM.AOS.inlet,2017-05-02T04:00:00Z,6.63,0.5262,3.916,4.56,0.3327,0.006,0.04,0.3073,0.008,0.015,0.006
CRAM,CRAM.AOS.buoy.c1,2017-05-02T04:00:00Z,4.72,0.711,4.074,4.72,0.3447,0.004,0.05,0.8474,0.021,0.014,0.019
CRAM,CRAM.AOS.buoy.c2,2017-05-02T04:00:00Z,5.77,1.343,3.715,4.27,0.343,0.047,0.07,0.3112,0.006,0.015,0.004
CRAM,CRAM.AOS.outlet,2017-06-06T04:00:00Z,6.74,0.519,4.536,5.07,0.285,-0.004,0.06,0.1996,0.011,0.001,0.01
CRAM,CRAM.AOS.inlet,2017-06-06T04:00:00Z,6.49,0.4775,4.652,4.99,0.2857,-0.005,0.05,0.1997,0.066,0.003,0.006
CRAM,CRAM.AOS.buoy.c1,2017-06-06T04:00:00Z,6.92,0.5901,4.381,5.16,0.2952,0.02,0.09,0.1954,0.015,0.002,0.013
CRAM,CRAM.AOS.buoy.c2,2017-06-06T04:00:00Z,6.33,0.969,3.905,4.53,0.406,0.029,0.08,0.2713,0.012,0.002,0.006
CRAM,CRAM.AOS.outlet,2017-07-11T04:00:00Z,6.95,0.6016,4.511,4.88,0.3234,-0.001,0.08,0.2384,0.072,0.023,0.0643
CRAM,CRAM.AOS.inlet,2017-07-11T04:00:00Z,6.77,0.6108,4.309,4.78,0.2829,0.002,0.12,0.2244,0.003,0.023,0.001
CRAM,CRAM.AOS.buoy.c1,2017-07-11T04:00:00Z,6.47,0.8039,4.731,4.89,0.3196,0.003,0.08,0.28,0.037,0.023,0.002
CRAM,CRAM.AOS.buoy.c1,2017-07-11T04:00:00Z,6.56,0.6825,4.389,4.95,0.3393,0.005,0.09,0.2383,0.0383,0.024,0.003
CRAM,CRAM.AOS.buoy.c1,2017-07-11T04:00:00Z,6.59,0.8348,4.42,4.81,0.3537,0.012,0.12,0.2329,0.042,0.024,0.002
CRAM,CRAM.AOS.buoy.c2,2017-07-11T04:00:00Z,6.68,1.166,3.681,4.18,0.4306,0.03,0.2,0.3686,0.0193,0.028,0.003
CRAM,CRAM.AOS.buoy.c2,2017-07-11T04:00:00Z,6.25,1.709,3.626,4.23,0.4235,0.027,0.2,0.3511,0.0309,0.027,0.002
CRAM,CRAM.AOS.buoy.c2,2017-07-11T04:00:00Z,6.82,1.876,3.751,4.14,0.4314,0.021,0.2,0.3252,0.0117,0.026,5e-4
CRAM,CRAM.AOS.outlet,2017-08-01T04:00:00Z,6.75,0.7193,4.344,4.89,0.2622,0.0454,0.04,0.2119,0.0187,0.034,0.003
CRAM,CRAM.AOS.inlet,2017-08-01T04:00:00Z,6.37,0.7203,4.623,5.13,0.3139,0.0476,0.03,0.2131,0.0154,0.036,0.001
CRAM,CRAM.AOS.buoy.c1,2017-08-01T04:00:00Z,6.28,0.7853,4.55,4.86,0.2747,0.0461,0.02,0.2229,0.0069,0.037,0.002
CRAM,CRAM.AOS.buoy.c2,2017-08-01T04:00:00Z,6.26,1.695,3.892,4.2,0.4425,0.0972,0.19,0.3743,0.029,0.039,0.0273
CRAM,CRAM.AOS.outlet,2017-08-29T04:00:00Z,6.24,0.761,4.442,4.89,0.3057,0.0813,0.07,0.2245,0.003,0.031,0.0016
CRAM,CRAM.AOS.inlet,2017-08-29T04:00:00Z,6.23,0.6815,4.416,5.03,0.2869,0.0243,0.06,0.2171,0.019,0.028,0.0162
CRAM,CRAM.AOS.buoy.c1,2017-08-29T04:00:00Z,6.41,0.706,4.792,5.17,0.3306,0.0275,0.08,0.2842,0.024,0.028,0.0201
CRAM,CRAM.AOS.buoy.c1,2017-08-29T04:00:00Z,6.29,0.6605,4.299,4.77,0.2916,0.0229,0.08,0.2542,0.026,0.032,0.021
CRAM,CRAM.AOS.buoy.c1,2017-08-29T04:00:00Z,6.35,0.7749,4.588,5.1,0.3157,0.0283,0.11,0.2526,0.02,0.03,0.019
CRAM,CRAM.AOS.buoy.c2,2017-08-29T04:00:00Z,6.12,2.11,4.16,4.91,0.528,0.0229,0.33,0.4693,0.025,0.036,0.0224
CRAM,CRAM.AOS.buoy.c2,2017-08-29T04:00:00Z,6.1,2.14,4.367,4.85,0.5433,0.0229,0.35,0.5041,0.029,0.035,0.0255
CRAM,CRAM.AOS.buoy.c2,2017-08-29T04:00:00Z,6.12,2.173,4.442,4.98,0.5565,0.0243,0.33,0.5239,0.028,0.035,0.024
CRAM,CRAM.AOS.outlet,2017-10-03T04:00:00Z,6.17,0.6555,4.735,5.04,0.3364,0.028,0.11,0.3165,0.029,0.006,0.002
CRAM,CRAM.AOS.inlet,2017-10-03T04:00:00Z,5.89,0.6929,4.246,5.02,0.2945,0.0199,0.1,0.261,0.038,0.005,0.002
CRAM,CRAM.AOS.buoy.c1,2017-10-03T04:00:00Z,6.07,0.7165,4.364,4.57,0.327,0.0203,0.11,0.2874,0.024,0.005,0.002
