time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,PHS_frp
2011-10-31 00:00:00,2.27,0,1,583.3333,58.33333,122.8834,1228.8337,7.4542,122.8834,0.2883855,0.100343365,0.73945,0.350721135
2011-11-01 00:00:00,2.14,0,3.9,583.3333,58.33333,131.775,1317.7498,6.372,131.775,0.264576,0.09205888,0.6784,0.32176512
2011-11-02 00:00:00,3.91,0,4.5,583.3333,58.33333,79.9152,799.1525,19.6505,79.9152,0.463164,0.16115732,1.1876,0.56327868
2011-11-03 00:00:00,4,0,5.6,583.3333,58.33333,73.2029,732.0293,23.9492,73.2029,0.5080725,0.176783175,1.30275,0.617894325
2011-11-04 00:00:00,3.08,0,7.8,583.3333,58.33333,67.0555,670.5545,29.1865,67.0555,0.55731,0.1939153,1.429,0.6777747
2011-11-05 00:00:00,2.42,0,2.4,583.3333,58.33333,66.5152,665.1521,29.7371,66.5152,0.558792,0.19443096,1.4328,0.67957704
2011-11-06 00:00:00,2.72,0,3,583.3333,58.33333,67.894,678.94,28.4106,67.894,0.5424705,0.188751915,1.39095,0.659727585
2011-11-07 00:00:00,2.93,0,4.2,583.3333,58.33333,67.977,679.7705,28.3473,67.977,0.538317,0.18730671,1.3803,0.65467629
2011-11-08 00:00:00,5.2,0,7.7,583.3333,58.33333,50.5048,505.0477,55.3151,50.5048,0.748371,0.26039473,1.9189,0.91013427
2011-11-09 00:00:00,9.02,0,11.7,583.3333,58.33333,43.675,436.7496,76.7157,43.675,0.876369,0.30493147,2.2471,1.06579953
2011-11-10 00:00:00,9.73,0,11.1,583.3333,58.33333,41.2595,412.5951,87.2246,41.2595,0.928863,0.32319669,2.3817,1.12964031
2011-11-11 00:00:00,5.93,0,10.1,583.3333,58.33333,41.1338,411.338,87.8736,41.1338,0.9266205,0.322416415,2.37595,1.126913085
2011-11-12 00:00:00,3.32,0,3.8,583.3333,58.33333,42.8034,428.0341,80.4043,42.8034,0.880815,0.30647845,2.2585,1.07120655
2011-11-13 00:00:00,4.45,0,5.3,583.3333,58.33333,44.742,447.4199,72.8288,44.742,0.833157,0.28989591,2.1363,1.01324709
2011-11-14 00:00:00,3.91,0,10.6,583.3333,58.33333,46.7391,467.3911,66.0598,46.7391,0.7886775,0.274419325,2.02225,0.959153175
2011-11-15 00:00:00,2.99,0,13.3,583.3333,58.33333,48.9384,489.3842,59.6093,48.9384,0.744744,0.25913272,1.9096,0.90572328
2011-11-16 00:00:00,2.99,0,9.9,583.3333,58.33333,51.2259,512.2593,53.8247,51.2259,0.703521,0.24478923,1.8039,0.85558977
2011-11-17 00:00:00,3.21,0,9.7,583.3333,58.33333,53.6153,536.1535,48.6116,53.6153,0.6647745,0.231307435,1.70455,0.808468065
2011-11-18 00:00:00,1.76,0,3.3,583.3333,58.33333,56.1294,561.2936,43.8802,56.1294,0.6280365,0.218524495,1.61035,0.763789005
2011-11-19 00:00:00,4.27,0,2.4,583.3333,58.33333,58.6242,586.2419,39.8178,58.6242,0.594984,0.20702392,1.5256,0.72359208
2011-11-20 00:00:00,3.06,0,5.1,583.3333,58.33333,61.2659,612.6593,36.0837,61.2659,0.5633355,0.196011865,1.44445,0.685102635
2011-11-21 00:00:00,2.88,0,8.5,583.3333,58.33333,64.0157,640.1572,32.7123,64.0157,0.533559,0.18565117,1.3681,0.64888983
2011-11-22 00:00:00,2.75,0,2,583.3333,58.33333,66.7585,667.5846,29.7863,66.7585,0.506532,0.17624716,1.2988,0.61602084
2011-11-23 00:00:00,2.18,0,3,583.3333,58.33333,69.6284,696.2841,27.1135,69.6284,0.480831,0.16730453,1.2329,0.58476447
2011-11-24 00:00:00,2.28,0,1,583.3333,58.33333,72.5929,725.9295,24.7025,72.5929,0.4567095,0.158911485,1.17105,0.555429015
2011-11-25 00:00:00,3.87,0,2,583.3333,58.33333,75.5803,755.8033,22.5752,75.5803,0.4345185,0.151190155,1.11415,0.528441345
2011-11-26 00:00:00,2.95,0,5.6,583.3333,58.33333,70.1103,701.1031,26.749,70.1103,0.471159,0.16393917,1.2081,0.57300183
2011-11-27 00:00:00,3.55,0,5.6,583.3333,58.33333,70.0496,700.4965,26.8191,70.0496,0.4697745,0.163457435,1.20455,0.571318065
2011-11-28 00:00:00,2.77,0,8.1,583.3333,58.33333,71.6387,716.3869,25.5168,71.6387,0.4562805,0.158762215,1.16995,0.554907285
2011-11-29 00:00:00,2.95,0,11.3,583.3333,58.33333,73.3278,733.2779,24.2301,73.3278,0.442767,0.15406021,1.1353,0.53847279
2011-11-30 00:00:00,2.28,0,13.1,583.3333,58.33333,75.6856,756.8556,22.5806,75.6856,0.4257045,0.148123335,1.09155,0.517722165
2011-12-01 00:00:00,3.32,0,5.1,583.3333,58.33333,78.1178,781.1784,21.0441,78.1178,0.409383,0.14244429,1.0497,0.49787271
2011-12-02 00:00:00,1.67,0,1.9,583.3333,58.33333,79.929,799.2897,20.0003,79.929,0.3976245,0.138352935,1.01955,0.483572565
2011-12-03 00:00:00,3.71,0,2.8,583.3333,58.33333,64.3086,643.0861,32.6397,64.3086,0.506883,0.17636929,1.2997,0.61644771
2011-12-04 00:00:00,6.94,0,1.5,583.3333,58.33333,56.7358,567.3578,43.2906,56.7358,0.58227,0.2026001,1.493,0.7081299
2011-12-05 00:00:00,5.51,0,4.4,583.3333,58.33333,53.6689,536.6891,49.0855,53.6689,0.618267,0.21512521,1.5853,0.75190779
2011-12-06 00:00:00,2.99,0,8.3,583.3333,58.33333,53.5388,535.3876,49.3888,53.5388,0.618306,0.21513878,1.5854,0.75195522
2011-12-07 00:00:00,3.82,0,9.8,583.3333,58.33333,54.1533,541.5326,48.1718,54.1533,0.6088485,0.211848055,1.56115,0.740453445
2011-12-08 00:00:00,3.16,0,3.9,583.3333,58.33333,55.2921,552.9207,46.0024,55.2921,0.593268,0.20642684,1.5212,0.72150516
2011-12-09 00:00:00,2.94,0,0.6,583.3333,58.33333,56.871,568.7099,43.2113,56.871,0.573417,0.19951971,1.4703,0.69736329
2011-12-10 00:00:00,2.27,0,2.6,583.3333,58.33333,58.7215,587.2149,40.2382,58.7215,0.551889,0.19202907,1.4151,0.67118193
2011-12-11 00:00:00,2.86,0,1,583.3333,58.33333,60.7461,607.4613,37.3117,60.7461,0.530127,0.18445701,1.3593,0.64471599
2011-12-12 00:00:00,2.99,0,1,583.3333,58.33333,62.8623,628.6229,34.5711,62.8623,0.509067,0.17712921,1.3053,0.61910379
2011-12-13 00:00:00,2.94,0,1.1,583.3333,58.33333,63.6578,636.5783,33.6309,63.6578,0.501072,0.17434736,1.2848,0.60938064
2011-12-14 00:00:00,3.95,0,2.2,583.3333,58.33333,55.7348,557.3481,45.3775,55.7348,0.5813925,0.202294775,1.49075,0.707062725
2011-12-15 00:00:00,4.39,0,2.4,583.3333,58.33333,56.7475,567.4748,43.6081,56.7475,0.568893,0.19794559,1.4587,0.69186141
2011-12-16 00:00:00,4.01,0,6.5,583.3333,58.33333,56.6943,566.943,43.7311,56.6943,0.568815,0.19791845,1.4585,0.69176655
