STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN,PRCP,SNOW
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1961,7.5,13.3,1.6,789.3,825
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1962,6.9,12.6,1.3,545.7,1105
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1963,7,13.3,0.7,665.7,967
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1964,8.3,14.7,1.9,600,778
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1965,7,12.9,1.1,956.1,1247
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1966,6.6,13.1,0.1,672.8,762
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1967,6.5,12.6,0.4,864.5,810
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1968,7.8,13.8,1.8,780.7,525
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1969,6.7,12.4,1,754.4,1073
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1970,7.3,13.3,1.4,780.2,967
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1971,7.7,14.1,1.3,690.4,1630
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1972,6.1,12,0.2,786.8,1279
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1973,8.7,14.2,3.1,903.2,961
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1974,7.6,13.5,1.7,916.8,1274
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1975,8.2,14.3,2.2,878.2,1278
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1976,7.1,14.3,-0.1,536.1,746
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1977,7.5,13.7,1.4,826.5,1384
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1978,6.6,12.7,0.4,926.2,1294
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1979,6.5,12.5,0.5,714.5,1344
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1980,7,13,1,873.6,965
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1981,8,14.2,1.9,815.7,589
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1982,6.7,12.6,0.9,802.9,1126
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1983,7.5,12.9,2,804.7,1591
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1984,7.7,13.4,2.1,856.8,862
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1985,7,12.7,1.3,989.6,2028
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1986,7.9,13.2,2.5,810.1,1191
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1987,9.4,15,3.8,849.5,1400
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1988,8.1,14.6,1.7,624.5,990
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1989,7.1,13,1.1,595.4,807
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1990,8.9,14.7,3.1,928.6,1422
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1991,8.7,14.5,2.9,994.2,1098
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1992,8,13.3,2.7,817.3,1029
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1993,7.9,13.1,2.6,1102.3,1490
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1994,8.2,14.2,2.1,853.2,2104
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1995,8.3,13.9,2.7,854.1,1612
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1996,6.4,11.8,1.1,805.6,
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1997,7.3,12.4,2.3,728.9,1495
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1998,9.9,14.9,4.9,1015.4,899
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,1999,8.9,14.5,3.4,812.2,985
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2000,8.1,13.4,2.8,1025.3,1816
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2001,8.9,14.1,3.7,978.1,362
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2002,8.7,14,3.4,665.9,832
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2003,7.7,13.4,2,806.8,757
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2004,8.3,13.6,3.1,1001,755
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2005,9,14.5,3.6,628.6,1603
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2006,9.2,14.3,4,933.4,878
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2007,8.7,14,3.5,1128.7,2100
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2008,7.3,12.6,1.9,1120.4,2829
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2009,7.5,12.9,2.2,974.4,1390
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2010,9,14.4,3.6,962,1147
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2011,8.7,14,3.4,777.3,1438
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2012,10.7,16.6,4.8,670,1294
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2013,7.6,12.9,2.3,1153.4,1849
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2014,7.1,12.4,1.7,898.3,1074
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2015,9,14.3,3.7,1006.3,933
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2016,9.6,14.6,4.6,1158,1120
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",43.1405,-89.3452,264,2017,9.1,14.2,3.9,972.8,645
